word,kept_reading,segmentation_suggested
受人錢財替人消災,sau6 jan4 cin4 coi4 tai3 jan4 siu1 zoi1,sau6 jan4 cin2 coi4 tai3 jan4 siu1 zoi1
古為今用,gu2 wai4 gam1 jung6,gu2 wai6 gam1 jung6
另一種,ling6 jat1 zung2,ling6 jat1 zung3
另存為,ling6 cyun4 wai4,ling6 cyun4 wai6
叫咩名,giu3 me1 meng2,giu3 me1 ming4
可以嗎,ho2 ji5 maa3,ho2 ji5 maa5
可以揾,ho2 ji5 wan2,ho2 ji5 wan3
可以當,ho2 ji5 dong1,ho2 ji5 dong3
可立中學,ho2 lap6 zung1 hok6,ho2 laap6 zung1 hok6
可立小學,ho2 lap6 siu2 hok6,ho2 laap6 siu2 hok6
可能會,ho2 nang4 wui5,ho2 nang4 wui6
可行性,ho2 hang4 sing3,ho2 hong6 sing3
可銘學校,ho2 ming4 hok6 haau6,ho2 ming5 hok6 haau6
台上台下,toi4 soeng6 toi4 haa6,toi4 soeng5 toi4 haa6
台妹,toi4 mui1,toi4 mui6
台姐,toi4 ze1,toi4 ze2
台山商會中學,toi4 saan1 soeng1 wui2 zung1 hok6,toi4 saan1 soeng1 wui6 zung1 hok6
台山商會學校,toi4 saan1 soeng1 wui2 hok6 haau6,toi4 saan1 soeng1 wui6 hok6 haau6
台山話,toi4 saan1 waa2,toi4 saan1 waa6
台灣擬啄木鳥,toi4 waan1 ji5 doek3 muk6 niu5,toi4 waan1 ji4 doek3 muk6 niu5
台灣牌,toi4 waan1 paai2,toi4 waan1 paai4
台灣獨立,toi4 waan1 duk6 laap6,toi4 waan1 duk6 lap6
台灣禮籃,toi4 waan1 lai5 laam2,toi4 waan1 lai5 laam4
台灣藍鵲,toi4 waan1 laam4 zoek3,toi4 waan1 laam4 coek3
台球,toi2 kau4,toi4 kau4
台球桌,toi2 kau4 coek3,toi4 kau4 coek3
台面呢,toi4 min2 nei4,toi4 min6 ne1
史傳小説,si2 zyun6 siu2 syut3,si2 cyun4 siu2 syut3
右轉,jau6 zyun2,jau6 zyun3
司天台,si1 tin1 toi4,si1 tin1 toi2
司法人員薪俸及服務條件常務委員會,si1 faat3 jan4 jyun4 san1 fung6 kap6 fuk6 mou6 tiu4 gin6 soeng4 mou6 wai2 jyun4 wui2,si1 faat3 jan4 jyun4 san1 fung2 kap6 fuk6 mou6 tiu4 gin2 soeng4 mou6 wai2 jyun4 wui6
司法人員薪常會,si1 faat3 jan4 jyun4 san1 soeng4 wui2,si1 faat3 jan4 jyun4 san1 soeng4 wui6
吃口吃舌,gat6 hau2 gat6 sit6,hek3 hau2 hek3 sit3
吃喝玩樂,hek3 hot3 wun6 lok6,hek3 hot3 waan2 lok6
吃得苦中苦方為人上人,hek3 dak1 fu2 zung1 fu2 fong1 wai4 jan4 soeng6 jan4,hek3 dak1 fu2 zung1 fu2 fong1 wai6 jan4 soeng6 jan4
吃茄,jaak3 ke1,hek3 ke2
吃虧上當,hek3 kwai1 soeng5 dong3,hek3 kwai1 soeng6 dong3
吃重,hek3 cung5,hek3 zung6
吃飽撐着,hek3 baau2 caang1 zoek6,hek3 baau2 caang3 zoek6
各自為政,gok3 zi6 wai4 zing3,gok3 zi6 wai6 zing3
合和實業,hap6 wo2 sat6 jip6,hap6 wo4 sat6 jip6
合桃糊,hap6 tou4 wu2,hap6 tou4 wu4
合眾為一,hap6 zung3 wai4 jat1,hap6 zung3 wai6 jat1
合而為一,hap6 ji4 wai4 jat1,hap6 ji4 wai6 jat1
吉列豬扒,gat1 lit6 zyu1 paa2,gat1 lit6 zyu1 paa4
同一間,tung4 jat1 gaan1,tung4 jat1 haan4
同枱食飯各自修行,tung4 toi4 sik6 faan6 gok3 zi6 sau1 hang6,tung4 toi2 sik6 faan6 gok3 zi6 sau1 hong6
同為,tung4 wai4,tung4 wai6
名為,ming4 wai4,ming4 wai6
吧枱,baa1 toi2,baa6 toi2
吳少芳,ng4 siu3 fong1,ng4 siu2 fong1
吳氏宗親總會,ng4 si6 zung1 can1 zung2 wui2,ng4 si6 zung1 can1 zung2 wui6
吸健會,kap1 gin6 wui2,kap1 gin6 wui6
吹下水,ceoi1 haa5 seoi2,ceoi1 haa6 seoi2
吹到啤一聲,ceoi1 dou3 be1 jat1 seng1,ceoi1 dou3 pei4 jat1 sing1
吹筒坳,ceoi1 tung4 aau3,ceoi1 tung2 aau3
吿假,gou3 gaa3,gou3 gaa2
吿枕頭狀,gou3 zam2 tau4 zong2,gou3 zam2 tau4 zong6
吿狀,gou3 zong2,gou3 zong6
呂郭碧鳳,leoi5 gwok3 bik1 fung2,leoi5 gwok3 bik1 fung6
呢下,ni1 haa5,ne1 haa6
呢串,ni1 cyun3,ne1 cyun3
呢件,ni1 gin6,ne1 gin6
呢件事,ni1 gin6 si6,ne1 gin6 si6
呢份,ni1 fan6,ne1 fan6
呢位,ni1 wai2,ne1 wai6
呢個世界,ni1 go3 sai3 gaai3,ne1 go3 sai3 gaai3
呢個位,ni1 go3 wai2,ne1 go3 wai6
呢個係,ni1 go3 hai6,ne1 go3 hai6
呢個價,ni1 go3 gaa3,ne1 go3 gaa3
呢個問題,ni1 go3 man6 tai4,ne1 go3 man6 tai4
呢個時候,ni1 go3 si4 hau6,ne1 go3 si4 hau6
呢個真,ni1 go3 zan1,ne1 go3 zan1
呢兩個,ni1 loeng5 go3,ne1 loeng5 go3
呢冊,ni1 caak3,ne1 caak3
呢副,ni1 fu3,ne1 fu3
呢劑,ni1 zai1,ne1 zai1
呢句,ni1 geoi3,ne1 geoi3
呢啤,ni1 pe1,ne1 pei4
呢啲人,ni1 di1 jan4,ne1 di1 jan4
呢單,ni1 daan1,ne1 daan1
呢單嘢,nei4 daan1 je5,ne1 daan1 je5
呢嚿,ni1 gau6,ne1 gau6
呢團,ni1 tyun4,ne1 tyun4
呢堂,ni1 tong4,ne1 tong4
呢堆,ni1 deoi1,ne1 deoi1
呢場,ni1 coeng4,ne1 coeng4
呢塊,ni1 faai3,ne1 faai3
呢套,ni1 tou3,ne1 tou3
呢將,le1 zoeng1,ne1 zoeng1
呢對,ni1 deoi3,ne1 deoi3
呢層,ni1 cang4,ne1 cang4
呢帽,le1 mou2,ne1 mou2
呢幅,ni1 fuk1,ne1 fuk1
呢幢,ni1 dung6,ne1 dung6
呢年,ni1 nin4,ne1 nin4
呢幾年,ni1 gei2 nin4,ne1 gei2 nin4
呢幾日,ni1 gei2 jat6,ne1 gei2 jat6
呢座,ni1 zo6,ne1 zo6
呢張,ni1 zoeng1,ne1 zoeng1
呢户,ni1 wu6,ne1 wu6
呢打,ni1 daa1,ne1 daa2
呢批,ni1 pai1,ne1 pai1
呢把,ni1 baa2,ne1 baa2
呢招,ni1 ziu1,ne1 ziu1
呢拳,ni1 kyun4,ne1 kyun4
呢支,ni1 zi1,ne1 zi1
呢方,ni1 fong1,ne1 fong1
呢方面,nei4 fong1 min6,ne1 fong1 min6
呢日,ni1 jat6,ne1 jat6
呢本,ni1 bun2,ne1 bun2
呢朵,ni1 do2,ne1 do2
呢朵,ni1 doe2,ne1 do2
呢束,ni1 cuk1,ne1 cuk1
呢杯,ni1 bui1,ne1 bui1
呢枝,ni1 zi1,ne1 zi1
呢架,ni1 gaa3,ne1 gaa3
呢格,ni1 gaak3,ne1 gaak3
呢條,ni1 tiu4,ne1 tiu4
呢條友,ni1 tiu4 jau2,ne1 tiu4 jau2
呢棟,ni1 dung6,ne1 dung6
呢棵,ni1 po1,ne1 po1
呢樣嘢,nei4 joeng6 je5,nei1 joeng6 je5
呢款,nei4 fun2,ne1 fun2
呢段,ni1 dyun6,ne1 dyun6
呢灘,ni1 taan1,ne1 taan1
呢片,ni1 pin3,ne1 pin3
呢班,ni1 baan1,ne1 baan1
呢班人,ni1 baan1 jan4,ne1 baan1 jan4
呢番,ni1 faan1,ne1 faan1
呢疊,ni1 daap6,ne1 dip6
呢疋,ni1 pat1,ne1 ngaa5
呢盅,ni1 zung1,ne1 zung1
呢盞,ni1 zaan2,ne1 zaan2
呢碗,ni1 wun2,ne1 wun2
呢碟,ni1 dip6,ne1 dip6
呢程,ni1 cing4,ne1 cing4
呢種,ni1 zung2,ne1 zung3
呢種行為,nei1 zung2 hang4 wai4,ne1 zung3 hang4 wai4
呢筆,ni1 bat1,ne1 bat1
呢箱,ni1 soeng1,ne1 soeng1
呢節,ni1 zit3,ne1 zit3
呢籮,ni1 lo4,ne1 lo4
呢粒,ni1 nap1,ne1 lap1
呢級,ni1 kap1,ne1 kap1
呢缸,ni1 gong1,ne1 gong1
呢罐,ni1 gun3,ne1 gun3
呢羣,ni1 kwan4,ne1 kwan4
呢脱人,ni1 tyut3 jan4,ne1 tyut3 jan4
呢艘,ni1 sau2,ne1 sau2
呢行,ni1 hong4,ne1 hong6
呢道,ni1 dou6,ne1 dou6
呢部,ni1 bou6,ne1 bou6
呢門,ni1 mun4,ne1 mun4
呢間,ni1 gaan1,ne1 haan4
呢隊,ni1 deoi6,ne1 deoi6
呢隻,ni1 zek3,ne1 zek3
呢面,ni1 min6,ne1 min6
呢頂,ni1 deng2,ne1 ding2
呢項,ni1 hong6,ne1 hong6
呢題,ni1 tai4,ne1 tai4
呢點,ni1 dim2,ne1 dim2
呢齣,ni1 ceot1,ne1 ceot1
周嘉洛,zau1 gaa1 lok3,zau1 gaa1 lok6
周海媚,zau1 hoi2 mei6,zau1 hoi2 mei4
呻鼻涕,san3 bei6 tai3,san1 bei6 tai3
咁多位,gam3 do1 wai2,gam3 do1 wai6
咁多嘢,gam2 do1 je5,gam3 do1 je5
咁平,gam3 peng4,gam3 ping4
咁得閒,gam2 dak1 haan4,gam3 dak1 haan4
咁慘,gam2 caam2,gam3 caam2
咁撚,gam3 lan2,gam3 nan2
咁撚多,gam3 lan2 do1,gam3 nan2 do1
咁柒,gam3 cat6,gam3 cat1
咁正,gam3 zeng3,gam3 zing3
咁重,gam3 cung5,gam3 zung6
咁長,gam3 coeng4,gam3 zoeng6
咋嗎,zaa1 maa3,zaa3 maa5
和宜合交匯處,wo4 ji4 hap6 gaau1 wui6 cyu5,wo4 ji4 hap6 gaau1 wui6 cyu3
咩意思,me1 ji3 si1,me1 ji3 si3
咪一樣,mai6 jat1 joeng6,mi1 jat1 joeng6
咪仲,mai6 zung6,mi1 zung6
咪係,mai6 hai6,mi1 hai6
咪俾,mai5 bei2,mi1 bei2
咪做,mai6 zou6,mi1 zou6
咪即係,mai6 zik1 hai6,mi1 zik1 hai6
咪去,mai5 heoi3,mi1 heoi3
咪又係,mai6 jau6 hai6,mi1 jau6 hai6
咪叫,mai6 giu3,mi1 giu3
咪可以,mai6 ho2 ji5,mi1 ho2 ji5
咪同,mai6 tung4,mi1 tung4
咪咁,mai5 gam3,mi1 gam3
咪就,mai6 zau6,mi1 zau6
咪就係,mai6 zau6 hai6,mi1 zau6 hai6
咪得,mai6 dak1,mi1 dak1
咪得囉,mai6 dak1 lo1,mi1 dak1 lo1
咪想,mai6 soeng2,mi1 soeng2
咪應,mai6 jing3,mi1 jing1
咪應該,mai6 jing1 goi1,mi1 jing1 goi1
咪指擬,mai5 zi2 ji5,mi1 zi2 ji5
咪撚,mai1 lan2,mi1 nan2
咪會,mai6 wui5,mi1 wui6
咪玩,mai5 waan2,mi1 waan2
咪用,mai6 jung6,mi1 jung6
咪真係,mai6 zan1 hai6,mi1 zan1 hai6
咪知,mai1 zi1,mi1 zi1
咪算,mai6 syun3,mi1 syun3
咪講,mai5 gong2,mi1 gong2
咪走雞,mai5 zau2 gai1,mi1 zau2 gai1
咪都係,mai6 dou1 hai6,mi1 dou1 hai6
咿咿哎哎,ji4 ji1 aai4 aai4,ji1 ji1 aai1 aai1
哄抬,hung6 toi4,hung3 toi4
哄抬物價,hung6 toi4 mat6 gaa3,hung3 toi4 mat6 gaa3
哪幀,naa5 zing1,naa5 zing3
哪朵,naa5 doe2,naa5 do2
哪棵,naa5 fo2,naa5 po1
哪疊,naa5 daap6,naa5 dip6
哪疋,naa5 pat1,naa5 ngaa5
哪種,naa5 zung2,naa5 zung3
哪粒,naa5 nap1,naa5 lap1
哪縷,naa5 leoi5,naa5 lau5
哪行,naa5 hong4,naa5 hong6
哪間,naa5 gaan1,naa5 haan4
哪頂,naa5 deng2,naa5 ding2
唉聲歎氣,aai1 seng1 taan3 hei3,aai1 sing1 taan3 hei3
唐人新村交匯處,tong4 jan4 san1 cyun1 gaau1 wui6 cyu5,tong4 jan4 san1 cyun1 gaau1 wui6 cyu3
唐公嶺,tong4 gung1 leng5,tong4 gung1 ling5
唐老鴨,tong4 lou5 aap2,tong4 lou5 aap3
唔上,m4 soeng5,m4 soeng6
唔中,m4 zung3,m4 zung1
唔使講,m4 si2 gong2,m4 sai2 gong2
唔出聲,m4 ceot1 sing1,m4 ceot1 seng1
唔到噉,m4 dou2 gam2,m4 dou3 gam2
唔好玩,m4 hou2 waan2,m4 hou2 wun6
唔尊重,m4 zyun1 cung5,m4 zyun1 zung6
唔平,m4 peng4,m4 ping4
唔成,m4 seng4,m4 sing4
唔揾,m4 wan2,m4 wan3
唔撚,m4 lan2,m4 nan2
唔撚係,m4 lan2 hai6,m4 nan2 hai6
唔撚到,m4 lan2 dou3,m4 nan2 dou3
唔撚識,m4 lan2 sik1,m4 nan2 sik1
唔會,m4 wui5,m4 wui6
唔會係,m4 wui5 hai6,m4 wui6 hai6
唔會俾,m4 wui5 bei2,m4 wui6 bei2
唔會做,m4 wui5 zou6,m4 wui6 zou6
唔會再,m4 wui5 zoi3,m4 wui6 zoi3
唔會出,m4 wui5 ceot1,m4 wui6 ceot1
唔會同,m4 wui5 tung4,m4 wui6 tung4
唔會噉,m4 wui5 gam2,m4 wui6 gam2
唔會太,m4 wui5 taai3,m4 wui6 taai3
唔會好,m4 wui5 hou2,m4 wui6 hou2
唔會有,m4 wui5 jau5,m4 wui6 jau5
唔會有人,m4 wui5 jau5 jan4,m4 wui6 jau5 jan4
唔會用,m4 wui5 jung6,m4 wui6 jung6
唔會買,m4 wui5 maai5,m4 wui6 maai5
唔洗錢,m4 sai2 cin4,m4 sai2 cin2
唔知係咪,m4 zi1 hai6 mai6,m4 zi1 hai6 mi1
唔知會,m4 zi1 wui5,m4 zi1 wui6
唔知道,m4 zi1 dou6,m4 zi1 dou3
唔知醒,m4 zi1 seng2,m4 zi1 sing2
唔等使,m4 dang2 sai2,m4 dang2 si2
唔聽,m4 teng1,m4 ting3
唔見你,m4 gin3 nei5,ng5 gin3 nei5
唔見咗,m4 gin3 zo2,ng5 gin3 zo2
唔見得,m4 gin3 dak1,ng5 gin3 dak1
唔見有,m4 gin3 jau5,ng5 gin3 jau5
唔請,m4 ceng2,m4 cing2
唔轉,m4 zyun2,m4 zyun3
唔返,m4 faan1,m4 faan2
唔重,m4 cung5,m4 zung6
唔驚,m4 geng1,m4 ging1
唱下歌,coeng3 haa5 go1,coeng3 haa6 go1
商務及經濟發展局,soeng1 mou6 kap6 ging1 zai3 faat3 zin2 guk2,soeng1 mou6 kap6 ging1 zai3 faat3 zin2 guk6
商經局,soeng1 ging1 guk2,soeng1 ging1 guk6
問下,man6 haa5,man6 haa6
啜核,zyut3 wat6,zyut3 hat6
啜核荔枝,zyut3 wat6 lai6 zi1,zyut3 hat6 lai6 zi1
啟蟄,kai2 zat6,kai2 zaap6
啦㨢,naa1 nang3,laa1 pei1
啫嗎,ze1 maa3,ze1 maa5
啱唔啱用,aam1 m4 aam1 jung6,ngaam1 m4 ngaam1 jung6
啱唔啱聽,ngaam1 m4 ngaam1 teng1,ngaam1 m4 ngaam1 ting3
啲女,di1 neoi2,di1 neoi5
啲相,di1 soeng2,di1 soeng1
喀山,haak3 saan1,kaa3 saan1
喀麥隆人,haak3 mak6 lung4 jan4,kaa3 mak6 lung4 jan4
善自為謀,sin6 zi6 wai4 mau4,sin6 zi6 wai6 mau4
單仲偕,sin6 zung6 gaai1,daan1 zung6 haai4
單立文,sin6 lap6 man4,daan1 laap6 man4
喳嗎,zaa1 maa3,zaa1 maa5
喺屋企,hai2 uk1 kei5,hai2 uk1 kei2
喺房,hai2 fong2,hai2 fong4
喻為,jyu6 wai4,jyu6 wai6
嗰下,go2 haa5,go2 haa6
嗰啤,go2 pe1,go2 pei4
嗰打,go2 daa1,go2 daa2
嗰朵,go2 doe2,go2 do2
嗰疊,go2 daap6,go2 dip6
嗰疋,go2 pat1,go2 ngaa5
嗰種,go2 zung2,go2 zung3
嗰粒,go2 nap1,go2 lap1
嗰行,go2 hong4,go2 hong6
嗰間,go2 gaan1,go2 haan4
嗰頂,go2 deng2,go2 ding2
嗲地媽咪,de1 di4 maa1 mi4,de2 dei6 maa1 mi4
嘅女,ge3 neoi2,ge3 neoi5
嘉華,gaa1 waa2,gaa1 waa4
嘉華地產,gaa1 waa2 dei6 caan2,gaa1 waa4 dei6 caan2
嘉諾撒聖心學校私立部,gaa1 nok6 saat3 sing3 sam1 hok6 haau6 si1 lap6 bou6,gaa1 nok6 saat3 sing3 sam1 hok6 haau6 si1 laap6 bou6
嘉頓,gaa1 deon2,gaa1 deon6
嘖嘖稱羨,zaak3 zaak3 cing1 sin6,zaak3 zaak3 cing3 sin6
嘰嘰𠺝𠺝,gi4 gi1 gat6 gat6,gi1 gi1 gat6 gaak3
嘶嘶沙沙,si1 si1 saa1 saa1,sai1 sai1 saa1 saa1
噉㗎喇,gam2 gaa3 laa3,gam2 ga3 laa3
噉係咪,gam2 hai6 mai6,gam2 hai6 mi1
噏下噏下,ap1 haa5 ap1 haa5,ngap1 haa6 ngap1 haa6
噒欖核,leon1 laam5 wat6,leon1 laam5 hat6
囍薈,hei2 wui6,hei2 wai3
四下,sei3 haa5,sei3 haa6
四五下,sei3 ng5 haa5,sei3 ng5 haa6
四五啤,sei3 ng5 pe1,sei3 ng5 pei4
四五幀,sei3 ng5 zing1,sei3 ng5 zing3
四五打,sei3 ng5 daa1,sei3 ng5 daa2
四五朵,sei3 ng5 doe2,sei3 ng5 do2
四五棵,sei3 ng5 fo2,sei3 ng5 po1
四五泡,sei3 ng5 paau1,sei3 ng5 pou5
四五疊,sei3 ng5 daap6,sei3 ng5 dip6
四五疋,sei3 ng5 pat1,sei3 ng5 ngaa5
四五種,sei3 ng5 zung2,sei3 ng5 zung3
四五粒,sei3 ng5 nap1,sei3 ng5 lap1
四五縷,sei3 ng5 leoi5,sei3 ng5 lau5
四五行,sei3 ng5 hong4,sei3 ng5 hong6
四五載,sei3 ng5 zoi2,sei3 ng5 zoi3
四五間,sei3 ng5 gaan1,sei3 ng5 haan4
四五頂,sei3 ng5 deng2,sei3 ng5 ding2
四十九,sei3 sap6 gau2,sei3 sap1 gau1
四十九萬,sei3 sap6 gau2 maan6,sei3 sap1 gau1 maan6
四啤,sei3 pe1,sei3 pei4
四幀,sei3 zing1,sei3 zing3
四打,sei3 daa1,sei3 daa2
四朵,sei3 doe2,sei3 do2
四棵,sei3 fo2,sei3 po1
四泡,sei3 paau1,sei3 pou5
四海為家,sei3 hoi2 wai4 gaa1,sei3 hoi2 wai6 gaa1
四疊,sei3 daap6,sei3 dip6
四疋,sei3 pat1,sei3 ngaa5
四百一十九,sei3 baak3 jat1 sap6 gau2,sei3 baak3 jat1 sap1 gau1
四百七十九,sei3 baak3 cat1 sap6 gau2,sei3 baak3 cat1 sap1 gau1
四百五十九,sei3 baak3 ng5 sap6 gau2,sei3 baak3 ng5 sap1 gau1
四百五十二,sei3 baak3 ng5 sap6 ji6,sei3 baak3 m5 sap6 ji6
四百八十九,sei3 baak3 baat3 sap6 gau2,sei3 baak3 baat3 sap1 gau1
四百六十九,sei3 baak3 luk6 sap6 gau2,sei3 baak3 luk6 sap1 gau1
四百四十九,sei3 baak3 sei3 sap6 gau2,sei3 baak3 sei3 sap1 gau1
四種,sei3 zung2,sei3 zung3
四粒,sei3 nap1,sei3 lap1
四縷,sei3 leoi5,sei3 lau5
四行,sei3 hong4,sei3 hong6
四載,sei3 zoi2,sei3 zoi3
四間,sei3 gaan1,sei3 haan4
四頂,sei3 deng2,sei3 ding2
回到本,wui4 dou2 bun2,wui4 dou3 bun2
回唔回應,wui4 m4 wui4 jing3,wui4 m4 wui4 jing1
因住骾親,jan1 zyu6 kang2 can1,jan1 zyu6 gang2 can1
國民警衞隊,gwok3 man4 ging2 wai6 deoi2,gwok3 man4 ging2 wai6 deoi6
國民身份認同,gwok3 man4 san1 fan2 jing2 dung6,gwok3 man4 san1 fan6 jing6 tung4
國際基督教優質音樂中學暨小學,gwok3 zai3 gei1 duk1 gaau3 jau1 zat1 jam1 lok6 zung1 hok6 kei3 siu2 hok6,gwok3 zai3 gei1 duk1 gaau3 jau1 zat1 jam1 ngok6 zung1 hok6 kei3 siu2 hok6
圍內村,wai4 noi6 cyun1,wai4 noi2 cyun1
圓圓小姐,jyun4 jyun2 siu2 ze2,jyun4 jyun4 siu2 ze2
圓嶺仔,jyun4 leng5 zai2,jyun4 ling5 zai2
圓玄學院妙法寺內明陳呂重德紀念中學,jyun4 jyun4 hok6 jyun2 miu6 faat3 zi6 noi6 ming4 can4 leoi5 cung4 dak1 gei2 nim6 zung1 hok6,jyun4 jyun4 hok6 jyun2 miu6 faat3 zi2 noi6 ming4 can4 leoi5 zung6 dak1 gei2 nim6 zung1 hok6
圓玄學院陳呂重德紀念學校,jyun4 jyun4 hok6 jyun2 can4 leoi5 cung4 dak1 gei2 nim6 hok6 haau6,jyun4 jyun4 hok6 jyun2 can4 leoi5 zung6 dak1 gei2 nim6 hok6 haau6
圖像用户介面,tou4 zoeng6 jung6 wu6 gaai3 min6,tou4 zoeng6 jung6 wu6 gaai3 min2
圖書館道,tou4 syu1 gun2 dou6,tou5 syu1 gun2 dou6
團長,tyun4 coeng4,tyun4 zoeng6
土地審裁處,tou2 dei6 sam2 coi4 cyu5,tou2 dei6 sam2 coi4 cyu3
土地註冊處,tou2 dei6 zyu3 caak3 cyu5,tou2 dei6 zyu3 caak3 cyu3
土瓜灣道,tou2 gwaa1 waan4 dou6,tou2 gwaa1 waan1 dou6
在職家庭及學生資助事務處,zoi6 zik1 gaa1 ting4 kap6 hok6 sang1 zi1 zo6 si6 mou6 cyu5,zoi6 zik1 gaa1 ting4 kap6 hok6 saang1 zi1 zo6 si6 mou6 cyu3
在這,zoi6 ze5,zoi6 ze2
地產代理監管局,dei6 caan2 doi6 lei5 gaam1 gun2 guk2,dei6 caan2 doi6 lei5 gaam1 gun2 guk6
地監局,dei6 gaam1 guk2,dei6 gaam1 guk6
地面温度,dei6 min6 wan1 dou6,dei6 min2 wan1 dou6
坎帕拉,ham2 paak3 laai1,ham1 paak3 laai1
坎皮納斯,ham2 pei4 naap6 si1,ham1 pei4 naap6 si1
坐下,zo6 haa6,co5 haa6
坐到,zo6 dou3,co5 dou3
坐卧不寧,zo6 ngo6 bat1 ning4,co5 ngo6 bat1 ning4
坐吃享福,zo6 hek3 hoeng2 fuk1,co5 hek3 hoeng2 fuk1
坐唔坐,zo6 m4 zo6,co5 m4 co5
坐在,zo6 zoi6,co5 zoi6
坐收漁人之利,zo6 sau1 jyu4 jan4 zi1 lei6,co5 sau1 jyu4 jan4 zi1 lei6
坑尾頂村,haang1 mei5 deng2 cyun1,haang1 mei5 ding2 cyun1
坡面,po1 min6,bo1 min6
坡面徑,po1 min6 ging3,bo1 min6 ging3
坪愉徑,ping4 jyu4 ging3,ping4 jyu6 ging3
坳背嶺,aau3 bui3 leng5,aau3 bui3 ling5
埃及人,aai1 kap6 jan4,oi1 kap6 jan4
埃森,aai1 sam1,oi1 sam1
埃爾多安,aai1 ji5 do1 on1,oi1 ji5 do1 on1
埃華街,aai1 waa4 gaai1,oi1 waa4 gaai1
埋手打三更,maai4 sau2 daa2 saam1 gaang1,maai4 sau2 daa2 saam1 gang3
城市規劃委員會,sing4 si5 kwai1 waak6 wai2 jyun4 wui2,sing4 si5 kwai1 waak6 wai2 jyun4 wui6
城規會,sing4 kwai1 wui2,sing4 kwai1 wui6
執人口水尾,zap1 jan4 hau2 seoi2 mei1,zap1 jan4 hau2 seoi2 mei5
執條襪帶累身家,zap1 tiu4 mat6 daai2 leoi6 san1 gaa1,zap1 tiu4 mat6 daai3 leoi6 san1 gaa1
執輸行頭慘過敗家,zap1 syu1 haang4 tau4 caam2 gwo3 baai6 gaa1,zap1 syu1 hong6 tau4 caam2 gwo3 baai6 gaa1
基督教中國佈道會,gei1 duk1 gaau3 zung1 gwok3 bou3 dou6 wui2,gei1 duk1 gaau3 zung1 gwok3 bou3 dou6 wui6
基督教女青年會,gei1 duk1 gaau3 neoi5 cing1 nin4 wui2,gei1 duk1 gaau3 neoi5 cing1 nin4 wui6
基督教宣道會,gei1 duk1 gaau3 syun1 dou6 wui2,gei1 duk1 gaau3 syun1 dou6 wui6
基督教神召會,gei1 duk1 gaau3 san4 ziu6 wui2,gei1 duk1 gaau3 san4 ziu6 wui6
基督教粉嶺神召會小學,gei1 duk1 gaau3 fan2 leng5 san4 ziu6 wui2 siu2 hok6,gei1 duk1 gaau3 fan2 leng5 san4 ziu6 wui6 siu2 hok6
基督教聖約教會,gei1 duk1 gaau3 sing3 joek3 gaau3 wui2,gei1 duk1 gaau3 sing3 joek3 gaau3 wui6
基督教銘恩小學,gei1 duk1 gaau3 ming4 jan1 siu2 hok6,gei1 duk1 gaau3 ming5 jan1 siu2 hok6
基督教香港信義會,gei1 duk1 gaau3 hoeng1 gong2 seon3 ji6 wui2,gei1 duk1 gaau3 hoeng1 gong2 seon3 ji6 wui6
基金會,gei1 gam1 wui2,gei1 gam1 wui6
堅巷,gin1 hong2,gin1 hong6
堅樂,gin1 lok3,gin1 lok6
塔什干,taap3 sap6 gon1,taap3 zaap6 gon1
塔門海傍街,taap3 mun4 hoi2 bong6 gaai1,taap3 mun4 hoi2 pong4 gaai1
塘尾道官立小學,tong4 mei5 dou6 gun1 lap6 siu2 hok6,tong4 mei5 dou6 gun1 laap6 siu2 hok6
塘瀝仔,tong4 lik6 zai2,tong4 lik1 zai2
塘福廟灣,tong4 fuk1 miu6 waan1,tong4 fuk1 miu2 waan1
塞內加爾人,coi3 noi6 gaa1 ji5 jan4,sak1 noi6 gaa1 ji5 jan4
塞拉利昂人,coi3 laai1 lei6 ngong4 jan4,sak1 laai1 lei6 ngong4 jan4
塞浦路斯人,coi3 pou2 lou6 si1 jan4,sak1 pou2 lou6 si1 jan4
塞爾維亞人,coi3 ji5 wai4 aa3 jan4,sak1 ji5 wai4 aa3 jan4
塞維利亞,coi3 wai4 lei6 aa3,sak1 wai4 lei6 aa3
塞翁失馬焉知非福,coi3 jung1 sat1 maa5 jin1 zi1 fei1 fuk1,sak1 jung1 sat1 maa5 jin1 zi1 fei1 fuk1
塞舌爾人,coi3 sit3 ji5 jan4,sak1 sit3 ji5 jan4
增為,zang1 wai4,zang1 wai6
墨魚滑,mak6 jyu4 waat2,mak6 jyu2 waat6
壁屋凹,bik1 uk1 aau3,bik1 uk1 nap1
士多啤梨蘋果橙,si6 do1 be1 lei2 ping4 gwo2 caang2,si6 do1 pei4 lei4 ping4 gwo2 caang2
士林一巷,si6 lam4 jat1 hong2,si6 lam4 jat1 hong6
士美菲路,si6 mei5 fei2 lou6,si6 mei5 fei1 lou6
夏洛特,haa6 lok3 dak6,haa6 lok6 dak6
外匯兑換率,ngoi6 wui6 deoi6 wun6 leot6,ngoi6 wui6 deoi3 wun6 seot1
夙夜為謀,suk1 je6 wai4 mau4,suk1 je6 wai6 mau4
多女,do1 neoi2,do1 neoi5
多種,do1 zung2,do1 zung3
多粒,do1 nap1,do1 lap1
多重,do1 cung5,do1 zung6
夠時間,gau3 si4 gaan1,gau3 si4 gaan3
